,date,title,url
1029,2010-07-23,图解亚马逊第二季度财报：运营利润率降至4%,http://www.techweb.com.cn/news/2010-07-23/647080.shtml
1030,2010-07-23,亚马逊称满意与塔吉特百货合作销售电子书,http://www.techweb.com.cn/news/2010-07-23/646901.shtml
1031,2010-07-23,亚马逊二季盈利未达预期盘后股价下降11.8%,http://www.techweb.com.cn/news/2010-07-23/646867.shtml
1032,2010-07-23,亚马逊第二季度业界未达预期盘后大跌15.57%,http://www.techweb.com.cn/news/2010-07-23/646749.shtml
1033,2010-07-23,亚马逊第二季业绩未达市场预期盘后跌13.9%,http://www.techweb.com.cn/news/2010-07-23/646744.shtml
1034,2010-07-23,亚马逊第二季度净利润2.07亿美元同比增长45%,http://www.techweb.com.cn/news/2010-07-23/646742.shtml
1035,2010-07-23,快讯：亚马逊第二季度净利2.07亿美元同比增45%,http://www.techweb.com.cn/news/2010-07-23/646724.shtml
1036,2010-07-23,亚马逊发布二季度财报,http://www.techweb.com.cn/news/2010-07-23/646719.shtml
1037,2010-07-23,亚马逊二季度净利2.07亿美元,http://www.techweb.com.cn/news/2010-07-23/646717.shtml
1038,2010-07-23,亚马逊第二季净利2.07亿美元同比增45%,http://www.techweb.com.cn/news/2010-07-23/646710.shtml
1039,2010-07-22,分析称iPad总销量已超过亚马逊Kindle,http://www.techweb.com.cn/news/2010-07-22/646237.shtml
1040,2010-07-21,亚马逊Kindle电子书销售量突破2200万套,http://www.techweb.com.cn/news/2010-07-21/645041.shtml
1041,2010-07-20,亚马逊CEO：Kindle电子书销量增长已到转折点,http://www.techweb.com.cn/news/2010-07-20/644807.shtml
1042,2010-07-20,亚马逊电子书销量首超精装硬皮书,http://www.techweb.com.cn/news/2010-07-20/644387.shtml
1043,2010-07-20,亚马逊：降价以来Kindle销量已增长两倍,http://www.techweb.com.cn/news/2010-07-20/643989.shtml
1044,2010-07-20,亚马逊称Kindle电子书销量首次超过精装本,http://www.techweb.com.cn/news/2010-07-20/643982.shtml
1045,2010-07-20,亚马逊：下调Kindle售价致销量增速提升三倍,http://www.techweb.com.cn/news/2010-07-20/643980.shtml
1046,2010-07-20,亚马逊CEO：价格下调刺激Kindle销量增长2倍,http://www.techweb.com.cn/news/2010-07-20/643976.shtml
1047,2010-07-16,报告称亚马逊和IBM为云计算市场领头羊,http://www.techweb.com.cn/news/2010-07-16/642501.shtml
1048,2010-07-16,Discovery起诉亚马逊Kindle电子书专利侵犯,http://www.techweb.com.cn/news/2010-07-16/642211.shtml
1049,2010-07-16,Discovery传播起诉亚马逊侵犯其专利,http://www.techweb.com.cn/news/2010-07-16/642041.shtml
1050,2010-07-15,美银将亚马逊评级从买入调低至中性,http://www.techweb.com.cn/news/2010-07-15/641943.shtml
1051,2010-07-14,移动电子商务将给亚马逊股票带来10%增长,http://www.techweb.com.cn/news/2010-07-14/640754.shtml
1052,2010-07-14,亚马逊Web服务增加超级计算集群能力,http://www.techweb.com.cn/news/2010-07-14/640507.shtml
1053,2010-07-14,传亚马逊明年第一季发布新版MP3Store商城,http://www.techweb.com.cn/news/2010-07-14/640478.shtml
1054,2010-07-14,亚马逊Web服务新选择：超级计算集群能力,http://www.techweb.com.cn/news/2010-07-14/640336.shtml
1055,2010-07-13,亚马逊：作者是我们的核心顾客,http://www.techweb.com.cn/news/2010-07-13/639842.shtml
1056,2010-07-13,卓越亚马逊“退货中心”服务再度上线,http://www.techweb.com.cn/news/2010-07-13/639832.shtml
1057,2010-07-12,卓越亚马逊再迎运动鞋及篮球鞋品牌匹克,http://www.techweb.com.cn/news/2010-07-12/638829.shtml
1058,2010-07-12,亚马逊获得双屏电子书阅读器专利,http://www.techweb.com.cn/news/2010-07-12/638822.shtml
1059,2010-07-09,卓越亚马逊连续无辜封停用户IP及账户惹投诉,http://www.techweb.com.cn/news/2010-07-09/637721.shtml
1060,2010-07-09,卓越亚马逊连续封用户IP和账号无解释遭投诉,http://www.techweb.com.cn/news/2010-07-09/637717.shtml
1061,2010-07-09,汉王科技：亚马逊模式国内能否复制是伪命题,http://www.techweb.com.cn/news/2010-07-09/637425.shtml
1062,2010-07-08,连锁书商Borders推电子书商店挑战亚马逊,http://www.techweb.com.cn/news/2010-07-08/637260.shtml
1063,2010-07-08,亚马逊将企业内部应用迁移至云计算平台,http://www.techweb.com.cn/news/2010-07-08/636983.shtml
1064,2010-07-07,亚马逊启动英国网上杂货店会员享受免费送货,http://www.techweb.com.cn/news/2010-07-07/636573.shtml
1065,2010-07-07,亚马逊在英国推出“在线食杂店”业务,http://www.techweb.com.cn/news/2010-07-07/636536.shtml
1066,2010-07-07,亚马逊在英国开设网上杂货店,http://www.techweb.com.cn/news/2010-07-07/636530.shtml
1067,2010-07-07,亚马逊将推出升级版KindleDX价格降至349美元,http://www.techweb.com.cn/news/2010-07-07/636274.shtml
1068,2010-07-06,亚马逊更新KindleDX电子书阅读器,http://www.techweb.com.cn/news/2010-07-06/635114.shtml
1069,2010-07-02,谷歌今夏推Editions电子书服务挑战苹果亚马逊,http://www.techweb.com.cn/news/2010-07-02/634055.shtml
1070,2010-07-02,卓越亚马逊宣布母婴店和食品店同时上线,http://www.techweb.com.cn/news/2010-07-02/633911.shtml
1071,2010-07-02,美网站评最昂贵10只股票百度亚马逊榜上有名,http://www.techweb.com.cn/news/2010-07-02/633819.shtml
1072,2010-07-02,卓越亚马逊开卖母婴用品及食品饮料,http://www.techweb.com.cn/news/2010-07-02/633816.shtml
1073,2010-07-02,卓越亚马逊进军母婴和食品市场,http://www.techweb.com.cn/news/2010-07-02/633795.shtml
1074,2010-07-02,美网站评十大最贵股票：百度亚马逊上榜,http://www.techweb.com.cn/news/2010-07-02/633647.shtml
1075,2010-07-02,亚马逊拟推新款KindleDX下调售价应对苹果,http://www.techweb.com.cn/news/2010-07-02/633582.shtml
1076,2010-07-02,美国最昂贵的十大股票：百度第八亚马逊第十,http://www.techweb.com.cn/news/2010-07-02/633209.shtml
1077,2010-07-01,卓越亚马逊总裁为周杰伦颁发钻石唱片奖,http://www.techweb.com.cn/news/2010-07-01/633054.shtml
1078,2010-07-01,亚马逊将推新款KindleDX售价调低至379美元,http://www.techweb.com.cn/news/2010-07-01/633001.shtml
